subjID,eff_e,eff_s,equ_e,equ_s,decision,decision_raw
108,54,57,4,6.67,0,1
108,48,49,8.67,10.22,1,2
108,46,49,5.78,10.22,0,1
108,57,57,3.33,6.67,0,1
108,54,57,4.67,6.67,1,2
108,56,57,5.11,6.67,1,2
108,52,53,6.89,8.44,1,2
108,53,53,6.44,8.44,1,2
108,50,53,4.89,8.44,0,1
108,56,57,3.56,6.67,0,1
108,53,53,4.22,8.44,0,1
108,49,49,5.11,10.22,0,1
108,50,53,6.44,8.44,1,2
108,49,49,8.22,10.22,1,2
108,57,57,4.67,6.67,0,1
108,46,49,8.22,10.22,1,2
108,52,53,4.44,8.44,0,1
108,48,49,5.33,10.22,0,1
109,54,57,4,6.67,1,2
109,48,49,8.67,10.22,0,1
109,46,49,5.78,10.22,0,1
109,57,57,3.33,6.67,0,1
109,54,57,4.67,6.67,0,1
109,56,57,5.11,6.67,0,1
109,52,53,6.89,8.44,1,2
109,53,53,6.44,8.44,0,1
109,50,53,4.89,8.44,1,2
109,56,57,3.56,6.67,0,1
109,53,53,4.22,8.44,0,1
109,49,49,5.11,10.22,0,1
109,50,53,6.44,8.44,0,1
109,49,49,8.22,10.22,0,1
109,57,57,4.67,6.67,0,1
109,46,49,8.22,10.22,0,1
109,52,53,4.44,8.44,1,2
109,48,49,5.33,10.22,0,1
110,54,57,4,6.67,0,1
110,48,49,8.67,10.22,1,2
110,46,49,5.78,10.22,0,1
110,57,57,3.33,6.67,0,1
110,54,57,4.67,6.67,0,1
110,56,57,5.11,6.67,0,1
110,52,53,6.89,8.44,0,1
110,53,53,6.44,8.44,0,1
110,50,53,4.89,8.44,0,1
110,56,57,3.56,6.67,0,1
110,53,53,4.22,8.44,1,2
110,49,49,5.11,10.22,1,2
110,50,53,6.44,8.44,0,1
110,49,49,8.22,10.22,1,2
110,57,57,4.67,6.67,0,1
110,46,49,8.22,10.22,0,1
110,52,53,4.44,8.44,0,1
110,48,49,5.33,10.22,0,1
111,54,57,4,6.67,0,1
111,48,49,8.67,10.22,1,2
111,46,49,5.78,10.22,0,1
111,57,57,3.33,6.67,1,2
111,54,57,4.67,6.67,0,1
111,56,57,5.11,6.67,0,1
111,52,53,6.89,8.44,0,1
111,53,53,6.44,8.44,0,1
111,50,53,4.89,8.44,0,1
111,56,57,3.56,6.67,0,1
111,53,53,4.22,8.44,0,1
111,49,49,5.11,10.22,0,1
111,50,53,6.44,8.44,0,1
111,49,49,8.22,10.22,0,1
111,57,57,4.67,6.67,0,1
111,46,49,8.22,10.22,1,2
111,52,53,4.44,8.44,0,1
111,48,49,5.33,10.22,0,1
112,54,57,4,6.67,0,1
112,48,49,8.67,10.22,0,1
112,46,49,5.78,10.22,1,2
112,57,57,3.33,6.67,0,1
112,54,57,4.67,6.67,0,1
112,56,57,5.11,6.67,0,1
112,52,53,6.89,8.44,0,1
112,53,53,6.44,8.44,0,1
112,50,53,4.89,8.44,0,1
112,56,57,3.56,6.67,0,1
112,53,53,4.22,8.44,0,1
112,49,49,5.11,10.22,0,1
112,50,53,6.44,8.44,0,1
112,49,49,8.22,10.22,0,1
112,57,57,4.67,6.67,0,1
112,46,49,8.22,10.22,0,1
112,52,53,4.44,8.44,0,1
112,48,49,5.33,10.22,0,1
